TaxonUsageID,LETTERCODE,TaxonName,AUTHOR,SYNONYM,TaxonConceptID,TaxonConcept,VernacularName,TaxonRank,GRUPPE,FAMILIE,IsChildTaxonOfID,IsChildTaxonOf,NACHWEIS,AccordingTo,HYBRID,BEGRUEND,EDITSTATUS
20178,AGRTCAP,Agrostis capillaris,L.,FALSE,20178,Agrostis capillaris,NA,SPE,S,Poaceae,61358,Agrostis species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
465,ANTXODO,Anthoxanthum odoratum,L. s. str.,FALSE,465,Anthoxanthum odoratum,NA,SPE,S,Poaceae,463,Anthoxanthum odoratum agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
14151,CAREPRA,Carex praecox,Schreb. s. l.,FALSE,14151,Carex praecox,NA,SPE,S,Cyperaceae,61338,Carex species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
12356,EROPVER,Erophila verna,(L.) DC. s. l.,FALSE,12356,Erophila verna,NA,SPE,S,Brassicaceae,60858,Erophila species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2598,GALU#VE,Galium verum agg.,NA,FALSE,2598,Galium verum agg.,Artengruppe Echtes Labkraut,AGG,S,Rubiaceae,94733,Galium verum agg. s. l.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,Einf端gen einer Zwischenebene,Korrektur
5108,RUMETHY,Rumex thyrsiflorus,Fingerh.,FALSE,5108,Rumex thyrsiflorus,NA,SPE,S,Polygonaceae,92799,Rumex acetosa agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,Einf端gen einer Zwischenebene,Korrektur
31,ACHIMIL,Achillea millefolium,L.,FALSE,31,Achillea millefolium,NA,SPE,S,Asteraceae,27,Achillea millefolium agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
27914,ELYMREP,Agropyron repens,(L.) P. Beauv.,TRUE,27778,Elymus repens,NA,SPE,S,NA,NA,NA,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
336,ALOPPRA,Alopecurus pratensis,L.,FALSE,336,Alopecurus pratensis,Wiesen-Fuchsschwanzgras,SPE,S,Poaceae,334,Alopecurus pratensis agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4366,POA #PR,Poa pratensis agg.,NA,FALSE,4366,Poa pratensis agg.,Artengruppe Wiesen-Rispengras,AGG,S,Poaceae,61418,Poa species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
6313,VICILAT,Vicia lathyroides,L.,FALSE,6313,Vicia lathyroides,Platterbsen-Wicke,SPE,S,Fabaceae,61048,Vicia species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
6341,VICITET,Vicia tetrasperma,(L.) Schreb.,FALSE,6341,Vicia tetrasperma,Viersamige Wicke,SPE,S,Fabaceae,6338,Vicia tetrasperma agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2264,EUPHESU,Euphorbia esula,L. s. str.,FALSE,2264,Euphorbia esula,Esels-Wolfsmilch,SPE,S,Euphorbiaceae,2263,Euphorbia esula agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
3508,LOTUCOR,Lotus corniculatus,L.,FALSE,3508,Lotus corniculatus,NA,SPE,S,Fabaceae,3505,Lotus corniculatus agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4364,POA PAL,Poa palustris,L.,FALSE,4364,Poa palustris,Sumpf-Rispengras,SPE,S,Poaceae,61418,Poa species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
93219,TARA/AN,Taraxacum sect. Ruderalia,-,FALSE,93219,Taraxacum sect. Ruderalia,NA,AGG,S,Asteraceae,60787,Taraxacum species,-,[ad-hoc-Taxon f端r GermanSL],0,NA,Ergaenzung
1008,CALWPAL,Caltha palustris,L.,FALSE,1008,Caltha palustris,Sumpfdotterblume,SPE,S,Ranunculaceae,61140,Caltha species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
15133,CARDPRA,Cardamine pratensis,L. (s. l.),FALSE,15133,Cardamine pratensis,Wiesen-Schaumkraut,SPE,S,Brassicaceae,1105,Cardamine pratensis agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
1230,CAREACU,Carex gracilis,Curtis,TRUE,20989,Carex acuta,NA,SPE,S,NA,NA,NA,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
1300,CAREVES,Carex vesicaria,L.,FALSE,1300,Carex vesicaria,Blasen-Segge,SPE,S,Cyperaceae,61338,Carex species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2564,GALUPAL,Galium palustre,L. s. l.,FALSE,2564,Galium palustre,Sumpf-Labkraut,SPE,S,Rubiaceae,61188,Galium species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
3151,JUNUEFF,Juncus effusus,L.,FALSE,3151,Juncus effusus,Flatter-Binse,SPE,S,Juncaceae,61445,Juncus species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
3552,SILEFLO,Lychnis flos-cuculi,L.,TRUE,24031,Silene flos-cuculi,NA,SPE,S,Caryophyllaceae,NA,NA,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4206,PHALARU,Phalaris arundinacea,L.,FALSE,4206,Phalaris arundinacea,Rohr-Glanzgras,SPE,S,Poaceae,61415,Phalaris species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
26611,POA TRI,Poa trivialis,L. s. l.,FALSE,26611,Poa trivialis,NA,SPE,S,Poaceae,61418,Poa species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4489,POTEANS,Potentilla anserina,L.,FALSE,4489,Potentilla anserina,NA,SPE,S,Rosaceae,61175,Potentilla species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4727,RANCFLA,Ranunculus flammula,L.,FALSE,4727,Ranunculus flammula,NA,SPE,S,Ranunculaceae,4726,Ranunculus flammula agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4768,RANCREP,Ranunculus repens,L.,FALSE,4768,Ranunculus repens,NA,SPE,S,Ranunculaceae,61151,Ranunculus species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
5073,RUMEACE,Rumex acetosa,"L. , nom. cons. prop. (vide Jonsell & Nilsson 1996: Taxon 45: 132)",FALSE,5073,Rumex acetosa,NA,SPE,S,Polygonaceae,92799,Rumex acetosa agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,Einf端gen einer Zwischenebene,Korrektur
5656,SIUMLAT,Sium latifolium,L.,FALSE,5656,Sium latifolium,NA,SPE,S,Apiaceae,61296,Sium species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
11573,STELPAU,Stellaria palustris,Ehrh. ex Hoffm.,FALSE,11573,Stellaria palustris,Sumpf-Sternmiere,SPE,S,Caryophyllaceae,60694,Stellaria species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
6063,TRIFREP,Trifolium repens,L.,FALSE,6063,Trifolium repens,NA,SPE,S,Fabaceae,61052,Trifolium species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
6302,VICICRA,Vicia cracca,L. s. str.,FALSE,6302,Vicia cracca,NA,SPE,S,Fabaceae,6301,Vicia cracca agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
129,AGRTSTO,Agrostis stolonifera,L.,FALSE,129,Agrostis stolonifera,NA,SPE,S,Poaceae,127,Agrostis stolonifera agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
121,AGRTCAN,Agrostis canina,L.,FALSE,121,Agrostis canina,NA,SPE,S,Poaceae,120,Agrostis canina agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
1557,CIRSARV,Cirsium arvense,(L.) Scop.,FALSE,1557,Cirsium arvense,Acker-Kratzdistel,SPE,S,Asteraceae,60795,Cirsium species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2412,FESTPRA,Festuca pratensis,Huds. s. l.,FALSE,2412,Festuca pratensis,Wiesen-Schwingel,SPE,S,Poaceae,61391,Festuca species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2969,HOLCLAN,Holcus lanatus,L.,FALSE,2969,Holcus lanatus,Wolliges Honiggras,SPE,S,Poaceae,61395,Holcus species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2721,GLYCFLU,Glyceria fluitans,(L.) R. Br.,FALSE,2721,Glyceria fluitans,Flutender Schwaden,SPE,S,Poaceae,2719,Glyceria fluitans agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2725,GLYCMAX,Glyceria maxima,(Hartm.) Holmb.,FALSE,2725,Glyceria maxima,NA,SPE,S,Poaceae,61513,Glyceria species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4869,RORISYL,Rorippa sylvestris,(L.) Besser,FALSE,4869,Rorippa sylvestris,Wilde Sumpfkresse,SPE,S,Brassicaceae,4867,Rorippa sylvestris agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
331,ALOPGEN,Alopecurus geniculatus,L.,FALSE,331,Alopecurus geniculatus,Knick-Fuchsschwanzgras,SPE,S,Poaceae,61360,Alopecurus species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
1303,CAREVUL,Carex vulpina,L.,FALSE,1303,Carex vulpina,Fuchs-Segge,SPE,S,Cyperaceae,1301,Carex vulpina agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
23150,PLAJM-I,Plantago intermedia,Gilib.,TRUE,4322,Plantago major subsp. intermedia,NA,SPE,S,Plantaginaceae,NA,NA,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4533,POTEREP,Potentilla reptans,L.,FALSE,4533,Potentilla reptans,Kriechendes Fingerkraut,SPE,S,Rosaceae,61175,Potentilla species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4857,RORIAMP,Rorippa amphibia,(L.) Besser,FALSE,4857,Rorippa amphibia,Wasser-Sumpfkresse,SPE,S,Brassicaceae,60882,Rorippa species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2094,ELEOUNI,Eleocharis uniglumis,(Link) Schult.,FALSE,2094,Eleocharis uniglumis,Einspelzige Sumpfbinse,SPE,S,Cyperaceae,2087,Eleocharis palustris agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
3313,LATYPRA,Lathyrus pratensis,L.,FALSE,3313,Lathyrus pratensis,Wiesen-Platterbse,SPE,S,Fabaceae,61045,Lathyrus species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
1904,DESCCES,Deschampsia cespitosa,(L.) P. Beauv. s. str.,FALSE,1904,Deschampsia cespitosa,Rasen-Schmiele,SPE,S,Poaceae,1903,Deschampsia cespitosa agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
1201,CAREDIT,Carex disticha,Huds.,FALSE,1201,Carex disticha,Zweizeilige Segge,SPE,S,Cyperaceae,61338,Carex species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
21330,CIRSVUL,Cirsium lanceolatum,"(L.) Scop. non Hill, nom. illeg.",TRUE,1579,Cirsium vulgare,NA,SPE,S,NA,NA,NA,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
26629,SYMHOFF,Symphytum officinale,L. s. l.,FALSE,26629,Symphytum officinale,Arznei-Beinwell,SPE,S,Boraginaceae,60640,Symphytum species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
1597,CNIDDUB,Cnidium dubium,(Schkuhr) Thell.,FALSE,1597,Cnidium dubium,Sumpf-Brenndolde,SPE,S,Apiaceae,61267,Cnidium species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
